"Name","Address","Website","Type","Awards offered","Campus setting","Campus housing","Student population","Undergraduate students","Graduation Rate","Transfer-Out Rate","Cohort Year *","Net Price **","Largest Program","IPEDS ID","OPE ID"
"Chicago School of Professional Psychology-College of Nursing","2101 Waterview Pkwy, Richardson, Texas 75080","https://www.thechicagoschool.edu/academics/program-finder/?fwp_field_of_study=nursing&fwp_locations=dallas_program_page","2-year, Private not-for-profit","One but less than two years certificate|Associate's degree","City: Midsize","No","65","65","35%","NA","Fall 2019","$29,498","Licensed Practical/Vocational Nurse Training","437732","02155312"
"Eastern New Mexico University-Main Campus","ENMU Station 2, 1500 S Ave K, Portales, New Mexico 88130","www.enmu.edu/","4-year, Public","Less than one year certificate|Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree","Town: Remote","Yes","5106","3833","41%","30%","Fall 2016","$8,702","-","187648","00265100"
"Ottawa University-Surprise","15950 N. Civic Center Plaza, Surprise, Arizona 85374","www.ottawa.edu/ouaz/home/","4-year, Private not-for-profit","Bachelor's degree|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship","Suburb: Large","Yes","1736","1106","NA","NA","Fall 2016","$35,402","-","464226","00193722"
"Rice University","6100 S Main St, Houston, Texas 77005-1827","www.rice.edu/","4-year, Private not-for-profit","Bachelor's degree|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship","City: Large","Yes","8672","4494","94%","NA","Fall 2016","$19,902","-","227757","00360400"
"","* Cohort Year represents the year for which students began their studies and applies to Graduation and Transfer Out Rates.","","","","","","","","","","","","","",""
"","** Net Price is Average Net Price for 2021-2022 generated for full-time beginning undergraduate students who were awarded grant or scholarship aid from federal, state or local governments, or the institution. For public institutions only students paying the in-state or in-district rate are included.  For institutions that charge students by program, net price is generated for the institution’s largest program.","","","","","","","","","","","","","",""
"","NA (Not applicable) - Graduation rate, transfer-out rate and the net price are not applicable to institutions that do not have full-time, first-time degree-seeking undergraduate students in the applicable cohort year or the financial aid year.","","","","","","","","","","","","","",""
