"Name","Address","Website","Type","Awards offered","Campus setting","Campus housing","Student population","Undergraduate students","Graduation Rate","Transfer-Out Rate","Cohort Year *","Net Price **","Largest Program","IPEDS ID","OPE ID"
"United States Merchant Marine Academy","300 Steamboat Road, Kings Point, New York 11024-1634","https://www.usmma.edu/","4-year, Public","Bachelor's degree|Master's degree","Suburb: Large","Yes","943","931","77%","23%","Fall 2016","$4,891","-","197027","00289200"
"United States Military Academy","606 Thayer Rd, West  Point, New York 10996","www.westpoint.edu/","4-year, Public","Bachelor's degree","Town: Fringe","Yes","4393","4393","88%","4%","Fall 2016","NA","-","197036","00289300"
"United States Naval Academy","121 Blake Road, Annapolis, Maryland 21402-1300","www.usna.edu/","4-year, Public","Bachelor's degree","Suburb: Large","Yes","4450","4450","90%","NA","Fall 2016","NA","-","164155","00210100"
"University of Pennsylvania","34th & Spruce Street, Philadelphia, Pennsylvania 19104-6303","www.upenn.edu/","4-year, Private not-for-profit","Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice","City: Large","Yes","28201","11250","96%","NA","Fall 2016","$26,123","-","215062","00337800"
"Vassar College","124 Raymond Ave, Poughkeepsie, New York 12604","www.vassar.edu/","4-year, Private not-for-profit","Bachelor's degree|Master's degree","Suburb: Large","Yes","2459","2459","92%","5%","Fall 2016","$30,603","-","197133","00289500"
"Villanova University","800 Lancaster Avenue, Villanova, Pennsylvania 19085-1699","www.villanova.edu/","4-year, Private not-for-profit","Less than one year certificate|Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice","Suburb: Large","Yes","10383","6989","91%","8%","Fall 2016","$34,837","-","216597","00338800"
"Webb Institute","298 Crescent Beach Rd, Glen Cove, New York 11542-1398","www.webb.edu/","4-year, Private not-for-profit","Bachelor's degree","Suburb: Large","Yes","102","102","89%","NA","Fall 2016","$19,744","-","197221","00290000"
"Yeshiva Gedola Tiferes Yerachmiel","911 Somerset Avenue, Lakewood, New Jersey 08701-0000","https://yeshivagedolatiferesyerachmiel.com/","4-year, primarily associate's, Private not-for-profit","Associate's degree|Bachelor's degree","City: Small","Yes","178","178","84%","16%","Fall 2016","$6,089","-","491914","04273800"
"","* Cohort Year represents the year for which students began their studies and applies to Graduation and Transfer Out Rates.","","","","","","","","","","","","","",""
"","** Net Price is Average Net Price for 2021-2022 generated for full-time beginning undergraduate students who were awarded grant or scholarship aid from federal, state or local governments, or the institution. For public institutions only students paying the in-state or in-district rate are included.  For institutions that charge students by program, net price is generated for the institution’s largest program.","","","","","","","","","","","","","",""
"","NA (Not applicable) - Graduation rate, transfer-out rate and the net price are not applicable to institutions that do not have full-time, first-time degree-seeking undergraduate students in the applicable cohort year or the financial aid year.","","","","","","","","","","","","","",""
