"Name","Address","Website","Type","Awards offered","Campus setting","Campus housing","Student population","Undergraduate students","Graduation Rate","Transfer-Out Rate","Cohort Year *","Net Price **","Largest Program","IPEDS ID","OPE ID"
"Carleton College","One North College Street, Northfield, Minnesota 55057","https://www.carleton.edu/","4-year, Private not-for-profit","Bachelor's degree","Town: Distant","Yes","2059","2059","91%","NA","Fall 2016","$31,494","-","173258","00234000"
"College of the Ozarks","100 Opportunity Avenue, Point Lookout, Missouri 65726-0017","www.cofo.edu/","4-year, Private not-for-profit","Bachelor's degree","Town: Distant","Yes","1487","1487","63%","27%","Fall 2016","$12,611","-","178697","00250000"
"Grinnell College","1121 Park Street, Grinnell, Iowa 50112-1690","www.grinnell.edu/","4-year, Private not-for-profit","Bachelor's degree","Town: Remote","Yes","1759","1759","88%","NA","Fall 2016","$33,467","-","153384","00186800"
"Macalester College","1600 Grand Ave, Saint Paul, Minnesota 55105-1899","www.macalester.edu/","4-year, Private not-for-profit","Bachelor's degree","City: Large","Yes","2175","2175","88%","5%","Fall 2016","$36,095","-","173902","00235800"
"Southeast Missouri Hospital College of Nursing and Health Sciences","2001 William Street, Cape Girardeau, Missouri 63703-4507","www.sehcollege.edu/","4-year, primarily associate's, Private not-for-profit","Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree","City: Small","No","134","134","100%","NA","Fall 2016","$14,354","-","417734","03070900"
"Washington University in St Louis","One Brookings Drive, Saint Louis, Missouri 63130-4899","https://wustl.edu/","4-year, Private not-for-profit","Less than one year certificate|One but less than two years certificate|Associate's degree|Two but less than 4 years certificate|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice","Suburb: Large","Yes","17012","8132","94%","NA","Fall 2016","$23,432","-","179867","00252000"
"","* Cohort Year represents the year for which students began their studies and applies to Graduation and Transfer Out Rates.","","","","","","","","","","","","","",""
"","** Net Price is Average Net Price for 2021-2022 generated for full-time beginning undergraduate students who were awarded grant or scholarship aid from federal, state or local governments, or the institution. For public institutions only students paying the in-state or in-district rate are included.  For institutions that charge students by program, net price is generated for the institution’s largest program.","","","","","","","","","","","","","",""
"","NA (Not applicable) - Graduation rate, transfer-out rate and the net price are not applicable to institutions that do not have full-time, first-time degree-seeking undergraduate students in the applicable cohort year or the financial aid year.","","","","","","","","","","","","","",""
