File,Average Word Count,Lexical Diversity (TTR),Most Common Words
Carleton College.csv,312,0.48596491228070177,"[('diversity', 8), ('admissions', 7), ('students', 7), ('court', 6), ('universities', 4), ('know', 4), ('commitment', 4), ('community', 4), ('environment', 4), ('continue', 4), ('colleges', 3), ('raceconscious', 3), ('carleton', 3), ('student', 3), ('work', 3), ('diverse', 3), ('process', 3), ('month', 2), ('supreme', 2), ('ruling', 2), ('applicant’s', 2), ('race', 2), ('court’s', 2), ('decision', 2), ('last', 2), ('university', 2), ('north', 2), ('carolina', 2), ('harvard', 2), ('practices', 2), ('increasing', 2), ('body', 2), ('may', 2), ('build', 2), ('within', 2), ('faculty', 2), ('staff', 2), ('liberal', 2), ('arts', 2), ('college’s', 2), ('learning', 2), ('together', 2), ('equity', 2), ('goal', 2), ('campus', 2), ('support', 2), ('make', 2), ('united', 1), ('states', 1), ('expected', 1), ('issue', 1), ('whether', 1), ('consider', 1), ('evaluating', 1), ('application', 1), ('admission', 1), ('don’t', 1), ('yet', 1), ('nature', 1), ('questions', 1), ('asked', 1), ('oral', 1), ('arguments', 1), ('october', 1), ('lead', 1), ('commentators', 1), ('legal', 1), ('experts', 1), ('́to', 1)]"
Carnegie Mellon University.csv,274,0.5240963855421686,"[('cmu', 7), ('community', 5), ('access', 5), ('students', 5), ('diversity', 5), ('commitment', 4), ('opportunity', 4), ('student', 4), ('programs', 3), ('education', 3), ('diverse', 3), ('support', 3), ('resources', 3), ('members', 2), ('today', 2), ('us', 2), ('court', 2), ('admissions', 2), ('university', 2), ('remain', 2), ('steadfast', 2), ('law', 2), ('admitted', 2), ('including', 2), ('many', 2), ('scholars', 2), ('world', 2), ('practices', 2), ('—', 2), ('assure', 2), ('mission', 2), ('backgrounds', 2), ('financial', 2), ('carnegie', 2), ('mellon', 2), ('impact', 2), ('inclusion', 2), ('dear', 1), ('supreme', 1), ('ruled', 1), ('harvard', 1), ('unc', 1), ('raceconscious', 1), ('cannot', 1), ('reconciled', 1), ('equal', 1), ('protection', 1), ('clause', 1), ('constitution', 1), ('founded', 1), ('expand', 1), ('key', 1), ('creating', 1), ('transformative', 1), ('educational', 1), ('experience', 1), ('studying', 1), ('opinion', 1), ('determine', 1), ('implications', 1), ('processes', 1), ('confidence', 1), ('ability', 1), ('follow', 1), ('promote', 1), ('essential', 1), ('fostering', 1), ('vibrant', 1), ('learning', 1)]"
Claremont McKenna College.csv,1,1.0,"[('nan', 1)]"
Colby College.csv,249,0.5378151260504201,"[('colby', 5), ('diversity', 5), ('students', 5), ('us', 4), ('court', 3), ('race', 3), ('among', 3), ('many', 3), ('decision', 3), ('colleges', 3), ('mission', 3), ('ruling', 2), ('use', 2), ('admissions', 2), ('harvard', 2), ('university', 2), ('one', 2), ('selective', 2), ('brief', 2), ('along', 2), ('interest', 2), ('diverse', 2), ('thought', 2), ('experience', 2), ('also', 2), ('experiences', 2), ('excellence', 2), ('commitment', 2), ('earlier', 1), ('today', 1), ('supreme', 1), ('issued', 1), ('cases', 1), ('involving', 1), ('north', 1), ('carolina', 1), ('chapel', 1), ('hill', 1), ('decades', 1), ('held', 1), ('permissible', 1), ('factor', 1), ('decisions', 1), ('overturned', 1), ('precedent', 1), ('likely', 1), ('significant', 1), ('impact', 1), ('america’s', 1), ('universities', 1), ('including', 1), ('encourage', 1), ('read', 1), ('already', 1), ('helped', 1), ('author', 1), ('amicus', 1), ('filed', 1), ('case', 1), ('leading', 1), ('argued', 1), ('compelling', 1), ('institutions', 1), ('nation', 1), ('large', 1), ('argument', 1), ('institutional', 1), ('straightforward', 1), ('education', 1)]"
Colgate University.csv,146,0.5373134328358209,"[('colgate', 9), ('university', 5), ('students', 4), ('steps', 4), ('practices', 3), ('carefully', 3), ('talented', 3), ('review', 3), ('opinion', 2), ('admissions', 2), ('implications', 2), ('determine', 2), ('continue', 2), ('diverse', 2), ('ahead', 2), ('number', 2), ('financial', 2), ('years', 2), ('process', 2), ('support', 2), ('mission', 2), ('today', 1), ('us', 1), ('supreme', 1), ('court', 1), ('released', 1), ('connection', 1), ('two', 1), ('cases', 1), ('challenged', 1), ('permissibility', 1), ('raceconscious', 1), ('public', 1), ('private', 1), ('universities', 1), ('colleges', 1), ('collaboration', 1), ('legal', 1), ('counsel', 1), ('reviewing', 1), ('potential', 1), ('working', 1), ('best', 1), ('course', 1), ('action', 1), ('recruitment', 1), ('academically', 1), ('decision', 1), ('look', 1), ('future', 1), ('admission', 1), ('cycles', 1), ('dedicated', 1), ('everything', 1), ('possible', 1), ('within', 1), ('confines', 1), ('law', 1), ('recruit', 1), ('backgrounds', 1), ('attend', 1), ('part', 1), ('longstanding', 1), ('efforts', 1), ('attract', 1), ('adopted', 1), ('aid', 1), ('recent', 1), ('first', 1)]"
College of the Ozarks.csv,1,1.0,"[('nan', 1)]"
Colorado College.csv,184,0.6081504702194357,"[('students', 4), ('us', 3), ('race', 3), ('decision', 3), ('student', 3), ('student’s', 3), ('contribute', 3), ('admissions', 2), ('harvard', 2), ('programs', 2), ('racial', 2), ('discrimination', 2), ('benefit', 2), ('must', 2), ('tied', 2), ('courage', 2), ('unique', 2), ('today’s', 2), ('continue', 2), ('creative', 2), ('learn', 2), ('diverse', 2), ('today', 1), ('fair', 1), ('inc', 1), ('v', 1), ('president', 1), ('fellows', 1), ('college', 1), ('supreme', 1), ('court', 1), ('held', 1), ('unc', 1), ('violate', 1), ('equal', 1), ('protection', 1), ('clause', 1), ('constitution', 1), ('“lack', 1), ('sufficiently', 1), ('focused', 1), ('measurable', 1), ('objectives', 1), ('warranting', 1), ('use', 1), ('unavoidably', 1), ('employ', 1), ('negative', 1), ('manner', 1), ('involve', 1), ('stereotyping', 1), ('lack', 1), ('meaningful', 1), ('end', 1), ('points”', 1), ('importantly', 1), ('court’s', 1), ('also', 1), ('emphasizes', 1), ('“nothing', 1), ('opinion', 1), ('construed', 1), ('prohibiting', 1), ('universities', 1), ('considering', 1), ('applicant’s', 1), ('discussion', 1), ('affected', 1), ('life', 1)]"
Columbia University.csv,528,0.4880952380952381,"[('students', 9), ('universities', 7), ('admissions', 7), ('court', 6), ('diverse', 6), ('university', 5), ('must', 5), ('applicants', 5), ('tests', 5), ('many', 4), ('court’s', 4), ('studies', 4), ('years', 3), ('affirmative', 3), ('action', 3), ('higher', 3), ('education', 3), ('including', 3), ('decision', 3), ('diversity', 3), ('ruling', 3), ('institutions', 3), ('ways', 3), ('may', 3), ('scores', 3), ('process', 3), ('columbia', 3), ('undergraduate', 3), ('general', 3), ('ago', 2), ('supreme', 2), ('grutter', 2), ('v', 2), ('bakke', 2), ('1978', 2), ('amendment', 2), ('american', 2), ('president', 2), ('use', 2), ('holistic', 2), ('course', 2), ('world', 2), ('good', 2), ('decades', 2), ('well', 2), ('experience', 2), ('learning', 2), ('benefit', 2), ('understanding', 2), ('leadership', 2), ('open', 2), ('time', 2), ('understand', 2), ('law', 2), ('remain', 2), ('lead', 2), ('right', 2), ('find', 2), ('new', 2), ('although', 2), ('believe', 2), ('go', 2), ('moment', 2), ('even', 2), ('extent', 2), ('graduate', 2), ('engaged', 2), ('consider', 2), ('standardised', 2)]"
Cooper Union for the Advancement of Science and Art.csv,143,0.5882352941176471,"[('cooper', 7), ('students', 4), ('union', 3), ('process', 3), ('student', 3), ('continue', 3), ('race', 2), ('gender', 2), ('religion', 2), ('socioeconomic', 2), ('status', 2), ('applicants', 2), ('based', 2), ('admissions', 2), ('half', 2), ('new', 2), ('york', 2), ('backgrounds', 2), ('experiences', 2), ('alter', 2), ('commitment', 2), ('since', 1), ('1859', 1), ('committed', 1), ('opening', 1), ('doors', 1), ('every', 1), ('background', 1), ('founder', 1), ('peter', 1), ('held', 1), ('vision', 1), ('institution', 1), ('would', 1), ('enroll', 1), ('without', 1), ('regard', 1), ('160', 1), ('years', 1), ('later', 1), ('fundamental', 1), ('principle', 1), ('lives', 1), ('discriminate', 1), ('nothing', 1), ('current', 1), ('provides', 1), ('favorable', 1), ('unfavorable', 1), ('treatment', 1), ('factors', 1), ('cooper’s', 1), ('body', 1), ('roots', 1), ('incredible', 1), ('melting', 1), ('pot', 1), ('city', 1), ('come', 1), ('corners', 1), ('us', 1), ('25', 1), ('countries', 1), ('represent', 1), ('diversity', 1), ('cultures', 1), ('identities', 1), ('kind', 1), ('community', 1)]"
Cornell University.csv,107,0.6717948717948717,"[('university', 4), ('cornell', 3), ('“any', 2), ('person', 2), ('find', 2), ('instruction', 2), ('study”', 2), ('core', 2), ('values', 2), ('founded', 1), ('1865', 1), ('committed', 1), ('ever', 1), ('since', 1), ('diversity', 1), ('inclusion', 1), ('commitment', 1), ('reiterated', 1), ('enshrined', 1), ('university’s', 1), ('adopted', 1), ('2019', 1), ('disappointed', 1), ('supreme', 1), ('court', 1), ('united', 1), ('states’', 1), ('decision', 1), ('today', 1), ('found', 1), ('harvard’s', 1), ('north', 1), ('carolina’s', 1), ('admission', 1), ('processes', 1), ('violate', 1), ('14th', 1), ('amendment', 1), ('universities', 1), ('free', 1), ('admit', 1), ('broadly', 1), ('diverse', 1), ('classes', 1), ('individualized', 1), ('holistic', 1), ('application', 1), ('review', 1), ('process', 1), ('intentionally', 1), ('creating', 1), ('student', 1), ('body', 1), ('potential', 1), ('create', 1), ('spark', 1), ('insight', 1), ('advance', 1), ('knowledge', 1), ('challenge', 1), ('one', 1), ('another', 1), ('thereby', 1), ('strengthen', 1), ('argument', 1), ('call', 1), ('assumption', 1), ('question', 1), ('generations', 1)]"
